                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.37,                0.37762,                0.66752,                 4.2232,              0.0033301,              0.0033301,              0.0033301
                      2,                 2.0077,                0.63448,                0.89367,                 3.9914,               0.006647,               0.006647,               0.006647
                      3,                 1.2702,                0.76291,                0.97487,                 3.8287,              0.0099473,              0.0099473,              0.0099473
                      4,                0.83118,                0.82061,                0.99279,                 3.7485,              0.0099258,              0.0099258,              0.0099258
                      5,                 0.5875,                0.84388,                0.99558,                 3.7221,               0.009901,               0.009901,               0.009901
                      6,                  0.495,                0.87669,                0.99814,                 3.6995,              0.0098763,              0.0098763,              0.0098763
                      7,                0.42654,                0.84667,                0.99698,                 3.7023,              0.0098515,              0.0098515,              0.0098515
                      8,                0.41615,                0.85877,                0.99721,                  3.695,              0.0098268,              0.0098268,              0.0098268
                      9,                0.36517,                0.86622,                0.99837,                   3.69,               0.009802,               0.009802,               0.009802
                     10,                0.35064,                0.86366,                0.99744,                 3.6825,              0.0097773,              0.0097773,              0.0097773
                     11,                0.33943,                0.88576,                0.99791,                  3.679,              0.0097525,              0.0097525,              0.0097525
                     12,                0.33421,                0.85272,                0.99884,                 3.6845,              0.0097278,              0.0097278,              0.0097278
                     13,                0.32228,                0.88832,                0.99791,                 3.6685,               0.009703,               0.009703,               0.009703
                     14,                0.31914,                 0.8853,                 0.9986,                 3.6781,              0.0096783,              0.0096783,              0.0096783
                     15,                0.31171,                0.86994,                 0.9986,                 3.6785,              0.0096535,              0.0096535,              0.0096535
                     16,                0.29601,                0.88041,                 0.9986,                 3.6761,              0.0096288,              0.0096288,              0.0096288
                     17,                0.29487,                0.85505,                0.99907,                 3.6822,               0.009604,               0.009604,               0.009604
                     18,                0.29519,                0.87785,                0.99907,                 3.6757,              0.0095793,              0.0095793,              0.0095793
                     19,                0.28814,                0.87901,                0.99884,                 3.6745,              0.0095545,              0.0095545,              0.0095545
                     20,                0.27935,                0.85295,                0.99907,                 3.6796,              0.0095298,              0.0095298,              0.0095298
                     21,                0.28197,                0.85831,                 0.9986,                 3.6757,               0.009505,               0.009505,               0.009505
                     22,                0.27802,                0.85714,                0.99907,                 3.6754,              0.0094803,              0.0094803,              0.0094803
                     23,                0.28245,                 0.8732,                0.99907,                  3.674,              0.0094555,              0.0094555,              0.0094555
                     24,                0.27327,                0.84388,                0.99884,                 3.6769,              0.0094307,              0.0094307,              0.0094307
                     25,                0.27753,                 0.8376,                 0.9993,                 3.6771,               0.009406,               0.009406,               0.009406
                     26,                0.27083,                0.84062,                0.99907,                 3.6782,              0.0093813,              0.0093813,              0.0093813
                     27,                0.26881,                0.88436,                0.99953,                 3.6734,              0.0093565,              0.0093565,              0.0093565
                     28,                0.26846,                0.86412,                0.99884,                  3.675,              0.0093317,              0.0093317,              0.0093317
                     29,                0.26476,                0.86412,                0.99953,                 3.6752,               0.009307,               0.009307,               0.009307
                     30,                 0.2656,                0.84853,                 0.9993,                 3.6756,              0.0092823,              0.0092823,              0.0092823
                     31,                0.25906,                0.83062,                0.99884,                 3.6776,              0.0092575,              0.0092575,              0.0092575
                     32,                0.25497,                0.85691,                 0.9986,                 3.6742,              0.0092327,              0.0092327,              0.0092327
                     33,                0.25566,                0.84016,                 0.9993,                 3.6757,               0.009208,               0.009208,               0.009208
                     34,                0.25763,                0.87064,                0.99953,                 3.6733,              0.0091833,              0.0091833,              0.0091833
                     35,                0.24962,                 0.8725,                 0.9993,                 3.6721,              0.0091585,              0.0091585,              0.0091585
                     36,                0.25462,                0.84481,                0.99907,                 3.6742,              0.0091337,              0.0091337,              0.0091337
                     37,                0.25508,                0.85854,                0.99953,                  3.675,               0.009109,               0.009109,               0.009109
                     38,                0.25597,                0.86087,                 0.9993,                 3.6725,              0.0090843,              0.0090843,              0.0090843
                     39,                0.25422,                0.86785,                 0.9993,                 3.6727,              0.0090595,              0.0090595,              0.0090595
                     40,                 0.2445,                0.87622,                 0.9993,                 3.6722,              0.0090347,              0.0090347,              0.0090347
                     41,                0.25708,                0.86947,                 0.9993,                 3.6721,                0.00901,                0.00901,                0.00901
                     42,                0.24812,                0.85389,                 0.9993,                 3.6721,              0.0089853,              0.0089853,              0.0089853
                     43,                 0.2529,                0.87645,                 0.9993,                 3.6716,              0.0089605,              0.0089605,              0.0089605
                     44,                0.25145,                0.86505,                 0.9993,                 3.6719,              0.0089358,              0.0089358,              0.0089358
                     45,                0.24644,                0.85249,                0.99907,                 3.6723,               0.008911,               0.008911,               0.008911
                     46,                0.24661,                0.85668,                0.99953,                 3.6734,              0.0088863,              0.0088863,              0.0088863
                     47,                  0.247,                0.85668,                 0.9993,                 3.6722,              0.0088615,              0.0088615,              0.0088615
                     48,                0.24674,                0.86575,                0.99953,                 3.6711,              0.0088368,              0.0088368,              0.0088368
                     49,                0.24585,                0.86319,                0.99953,                 3.6714,               0.008812,               0.008812,               0.008812
                     50,                0.24906,                0.85644,                0.99953,                 3.6719,              0.0087872,              0.0087872,              0.0087872
                     51,                 0.2474,                0.86622,                0.99977,                 3.6709,              0.0087625,              0.0087625,              0.0087625
                     52,                0.24282,                0.86598,                0.99977,                 3.6713,              0.0087378,              0.0087378,              0.0087378
                     53,                0.24523,                0.86459,                0.99953,                  3.671,               0.008713,               0.008713,               0.008713
                     54,                0.24562,                0.86319,                0.99953,                 3.6718,              0.0086882,              0.0086882,              0.0086882
                     55,                0.23776,                0.86249,                0.99953,                 3.6713,              0.0086635,              0.0086635,              0.0086635
                     56,                0.24631,                 0.8611,                0.99953,                 3.6713,              0.0086388,              0.0086388,              0.0086388
                     57,                0.23765,                0.86342,                0.99953,                 3.6715,               0.008614,               0.008614,               0.008614
                     58,                0.23593,                0.86529,                0.99953,                 3.6713,              0.0085893,              0.0085893,              0.0085893
                     59,                0.23451,                0.86552,                0.99953,                 3.6721,              0.0085645,              0.0085645,              0.0085645
                     60,                0.24488,                0.86598,                0.99953,                 3.6717,              0.0085398,              0.0085398,              0.0085398
                     61,                0.23859,                0.86924,                0.99953,                 3.6704,               0.008515,               0.008515,               0.008515
                     62,                0.23916,                0.86761,                0.99953,                 3.6711,              0.0084903,              0.0084903,              0.0084903
                     63,                0.23747,                0.86668,                0.99953,                 3.6717,              0.0084655,              0.0084655,              0.0084655
                     64,                0.23534,                0.86738,                0.99953,                 3.6713,              0.0084408,              0.0084408,              0.0084408
                     65,                0.23015,                0.86668,                0.99953,                 3.6709,               0.008416,               0.008416,               0.008416
                     66,                0.23179,                0.86808,                0.99953,                 3.6705,              0.0083913,              0.0083913,              0.0083913
                     67,                0.22962,                0.86901,                0.99953,                 3.6707,              0.0083665,              0.0083665,              0.0083665
                     68,                0.23371,                0.86924,                0.99953,                 3.6711,              0.0083418,              0.0083418,              0.0083418
                     69,                0.22915,                0.86924,                0.99953,                 3.6702,               0.008317,               0.008317,               0.008317
                     70,                 0.2345,                0.86971,                0.99953,                 3.6709,              0.0082922,              0.0082922,              0.0082922
                     71,                0.23286,                0.86901,                0.99953,                 3.6703,              0.0082675,              0.0082675,              0.0082675
                     72,                0.23314,                0.86785,                0.99953,                   3.67,              0.0082428,              0.0082428,              0.0082428
                     73,                0.23977,                0.86761,                0.99953,                 3.6705,               0.008218,               0.008218,               0.008218
                     74,                0.23055,                0.86854,                0.99953,                 3.6707,              0.0081932,              0.0081932,              0.0081932
                     75,                0.22934,                0.86761,                0.99953,                 3.6707,              0.0081685,              0.0081685,              0.0081685
                     76,                0.23515,                0.86831,                0.99953,                 3.6705,              0.0081437,              0.0081437,              0.0081437
                     77,                0.23367,                0.86854,                0.99953,                 3.6704,               0.008119,               0.008119,               0.008119
                     78,                0.23204,                0.86854,                0.99953,                   3.67,              0.0080942,              0.0080942,              0.0080942
                     79,                0.23173,                0.86831,                0.99953,                 3.6701,              0.0080695,              0.0080695,              0.0080695
                     80,                0.22683,                0.86715,                0.99953,                   3.67,              0.0080447,              0.0080447,              0.0080447
                     81,                0.22066,                0.86575,                0.99953,                 3.6696,                0.00802,                0.00802,                0.00802
                     82,                0.22541,                0.86622,                0.99953,                 3.6698,              0.0079953,              0.0079953,              0.0079953
                     83,                0.22589,                0.86645,                0.99953,                 3.6694,              0.0079705,              0.0079705,              0.0079705
                     84,                0.22772,                0.86761,                0.99953,                 3.6691,              0.0079457,              0.0079457,              0.0079457
                     85,                0.22674,                0.86622,                0.99953,                   3.67,               0.007921,               0.007921,               0.007921
                     86,                0.22251,                0.86552,                0.99953,                 3.6698,              0.0078963,              0.0078963,              0.0078963
                     87,                0.21865,                0.86552,                0.99953,                 3.6703,              0.0078715,              0.0078715,              0.0078715
                     88,                0.22579,                0.86436,                0.99953,                 3.6692,              0.0078467,              0.0078467,              0.0078467
                     89,                0.21998,                0.86366,                0.99953,                 3.6692,               0.007822,               0.007822,               0.007822
                     90,                0.22012,                0.86412,                0.99953,                 3.6693,              0.0077973,              0.0077973,              0.0077973
                     91,                0.22824,                0.86389,                0.99953,                 3.6695,              0.0077725,              0.0077725,              0.0077725
                     92,                0.21567,                0.86319,                0.99953,                 3.6692,              0.0077478,              0.0077478,              0.0077478
                     93,                0.21921,                0.86342,                0.99953,                 3.6692,               0.007723,               0.007723,               0.007723
                     94,                0.21541,                0.86459,                0.99953,                 3.6691,              0.0076983,              0.0076983,              0.0076983
                     95,                0.21355,                0.86482,                0.99953,                  3.669,              0.0076735,              0.0076735,              0.0076735
                     96,                0.21475,                0.86552,                0.99953,                 3.6693,              0.0076488,              0.0076488,              0.0076488
                     97,                0.21638,                0.86529,                0.99953,                  3.669,               0.007624,               0.007624,               0.007624
                     98,                0.21828,                0.86505,                0.99953,                 3.6684,              0.0075993,              0.0075993,              0.0075993
                     99,                0.21993,                0.86505,                0.99953,                 3.6681,              0.0075745,              0.0075745,              0.0075745
                    100,                0.21288,                0.86552,                0.99953,                 3.6682,              0.0075498,              0.0075498,              0.0075498
                    101,                0.21587,                0.86575,                0.99953,                 3.6683,               0.007525,               0.007525,               0.007525
                    102,                0.21277,                0.86622,                0.99953,                 3.6688,              0.0075003,              0.0075003,              0.0075003
                    103,                0.21673,                0.86668,                0.99953,                 3.6685,              0.0074755,              0.0074755,              0.0074755
                    104,                0.21069,                0.86715,                0.99953,                 3.6677,              0.0074507,              0.0074507,              0.0074507
                    105,                0.21388,                0.86715,                0.99953,                 3.6677,               0.007426,               0.007426,               0.007426
                    106,                0.20834,                0.86598,                0.99953,                 3.6677,              0.0074013,              0.0074013,              0.0074013
                    107,                0.21299,                0.86622,                0.99953,                 3.6678,              0.0073765,              0.0073765,              0.0073765
                    108,                0.21225,                0.86691,                0.99953,                 3.6673,              0.0073517,              0.0073517,              0.0073517
                    109,                0.21069,                0.86761,                0.99953,                 3.6676,               0.007327,               0.007327,               0.007327
                    110,                0.21378,                0.86761,                0.99953,                 3.6671,              0.0073023,              0.0073023,              0.0073023
                    111,                0.20586,                0.86761,                0.99953,                 3.6668,              0.0072775,              0.0072775,              0.0072775
                    112,                0.20352,                0.86715,                0.99953,                 3.6671,              0.0072527,              0.0072527,              0.0072527
                    113,                0.21035,                0.86854,                0.99953,                 3.6667,               0.007228,               0.007228,               0.007228
