                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3466,                 3.8544,                 3.7812,                0.00012,                0.00491,                  6e-05,                  2e-05,                  4.187,                 4.2897,                 4.3278,             0.00065714,             0.00065714,             0.00065714
                      2,                 2.1003,                 2.1073,                 2.3467,                 0.7416,                0.59214,                0.64429,                0.38918,                 1.5045,                  1.888,                 1.7134,              0.0013214,              0.0013214,              0.0013214
                      3,                 1.6595,                 1.4983,                 1.7774,                0.85647,                0.72236,                0.84869,                0.56476,                 1.2609,                 1.1367,                 1.4419,              0.0019833,              0.0019833,              0.0019833
                      4,                 1.4284,                 1.1204,                 1.5316,                0.85389,                0.76106,                0.84606,                0.55791,                 1.1846,                 1.2441,                 1.3223,              0.0019892,              0.0019892,              0.0019892
                      5,                  1.298,                0.98219,                 1.4237,                0.88893,                 0.8456,                0.92178,                0.62244,                 1.1301,                0.83581,                 1.2636,              0.0019856,              0.0019856,              0.0019856
                      6,                 1.2072,                0.86957,                 1.3579,                0.89736,                0.83772,                0.92629,                0.65479,                 1.0416,                0.74366,                 1.2214,               0.001982,               0.001982,               0.001982
                      7,                 1.0887,                0.77186,                   1.27,                0.90482,                0.85258,                0.93955,                0.69861,                 0.9434,                0.76435,                   1.13,              0.0019784,              0.0019784,              0.0019784
                      8,                 1.0832,                 0.7425,                 1.2714,                0.89694,                0.91155,                0.95529,                 0.7284,                0.90509,                0.64565,                 1.1167,              0.0019748,              0.0019748,              0.0019748
                      9,                  1.031,                0.69534,                  1.226,                0.91181,                0.88914,                 0.9548,                0.70463,                0.95867,                0.63663,                 1.1378,              0.0019712,              0.0019712,              0.0019712
                     10,                 1.0131,                0.67545,                 1.2191,                0.91058,                0.90072,                0.96243,                0.71669,                0.94398,                0.60032,                 1.1337,              0.0019676,              0.0019676,              0.0019676
                     11,                0.99627,                0.64404,                 1.1979,                0.91992,                 0.9032,                0.95644,                0.72386,                0.91789,                0.60714,                 1.1026,               0.001964,               0.001964,               0.001964
                     12,                0.95949,                0.63947,                 1.1851,                0.90389,                0.90663,                 0.9578,                0.72692,                0.89476,                0.66505,                 1.0939,              0.0019604,              0.0019604,              0.0019604
                     13,                0.94265,                0.62358,                 1.1829,                0.89595,                0.93091,                0.96029,                0.73701,                0.89838,                0.57613,                 1.0966,              0.0019568,              0.0019568,              0.0019568
                     14,                0.95301,                0.59973,                 1.1804,                0.92283,                0.90172,                0.95961,                0.73208,                0.86755,                0.65123,                 1.0731,              0.0019532,              0.0019532,              0.0019532
                     15,                0.93823,                0.60019,                 1.1768,                0.92654,                0.89865,                 0.9678,                0.73689,                0.90806,                0.64989,                 1.0889,              0.0019496,              0.0019496,              0.0019496
                     16,                 0.8978,                0.57673,                 1.1445,                0.90382,                 0.9005,                0.95935,                0.75032,                0.85195,                0.54481,                 1.0832,               0.001946,               0.001946,               0.001946
                     17,                0.88505,                0.57172,                 1.1345,                0.93369,                0.88452,                0.96356,                0.74751,                0.85825,                  0.519,                 1.0592,              0.0019424,              0.0019424,              0.0019424
                     18,                0.86033,                0.55319,                 1.1131,                0.94443,                0.89189,                0.96811,                0.71514,                0.93321,                0.53397,                 1.0939,              0.0019388,              0.0019388,              0.0019388
                     19,                0.88002,                0.55717,                 1.1344,                0.90117,                0.91856,                0.96579,                0.74553,                0.87253,                0.54993,                 1.0655,              0.0019352,              0.0019352,              0.0019352
                     20,                0.89587,                0.55383,                 1.1337,                 0.9309,                0.89376,                 0.9722,                0.75743,                0.87338,                0.49638,                 1.0578,              0.0019316,              0.0019316,              0.0019316
                     21,                0.84543,                0.54885,                 1.1098,                  0.939,                0.91646,                0.97217,                 0.7558,                0.84168,                0.53719,                 1.0474,               0.001928,               0.001928,               0.001928
                     22,                0.85893,                0.54507,                 1.1258,                0.91826,                0.91646,                 0.9749,                0.73626,                0.92996,                0.57747,                 1.0963,              0.0019244,              0.0019244,              0.0019244
                     23,                0.85239,                0.52479,                 1.1102,                0.92917,                0.89926,                0.96623,                0.75304,                0.84094,                0.50777,                 1.0439,              0.0019208,              0.0019208,              0.0019208
                     24,                0.84314,                0.52839,                 1.1094,                0.91349,                0.90807,                 0.9673,                0.73004,                0.91255,                0.52649,                 1.0694,              0.0019172,              0.0019172,              0.0019172
                     25,                0.86866,                0.54182,                 1.1139,                0.92817,                0.92067,                0.97138,                0.72369,                0.95224,                0.53224,                  1.102,              0.0019136,              0.0019136,              0.0019136
                     26,                0.86727,                0.52266,                 1.1301,                0.91205,                0.91721,                0.96606,                0.74609,                0.86217,                0.53178,                 1.0549,                0.00191,                0.00191,                0.00191
                     27,                0.83549,                0.50732,                 1.0962,                0.92498,                0.90884,                0.96997,                0.76561,                0.81094,                0.50752,                 1.0307,              0.0019064,              0.0019064,              0.0019064
                     28,                0.81922,                 0.5038,                 1.0809,                0.93204,                0.90979,                0.97028,                0.76166,                0.83207,                0.47417,                 1.0426,              0.0019028,              0.0019028,              0.0019028
                     29,                0.80559,                0.48927,                 1.0706,                0.91298,                0.90219,                0.96792,                0.77093,                0.81055,                0.48327,                 1.0196,              0.0018992,              0.0018992,              0.0018992
                     30,                0.80837,                0.49619,                 1.0815,                0.94666,                 0.9157,                0.97294,                0.76233,                0.83963,                0.52953,                 1.0328,              0.0018956,              0.0018956,              0.0018956
                     31,                0.81368,                0.50143,                 1.0731,                0.92243,                0.92383,                0.97295,                0.78146,                0.80676,                0.45769,                 1.0296,               0.001892,               0.001892,               0.001892
                     32,                0.79242,                0.48453,                 1.0798,                0.91984,                0.93041,                0.97575,                0.77721,                0.80883,                0.46672,                 1.0252,              0.0018884,              0.0018884,              0.0018884
                     33,                0.80157,                0.48536,                 1.0924,                0.91178,                0.93956,                  0.975,                0.77238,                0.80898,                0.46251,                 1.0172,              0.0018848,              0.0018848,              0.0018848
                     34,                0.81668,                0.48514,                 1.0682,                0.91691,                0.92187,                0.97241,                0.77222,                0.80848,                 0.4859,                 1.0229,              0.0018812,              0.0018812,              0.0018812
                     35,                0.79664,                0.48083,                 1.0815,                0.93154,                0.90262,                 0.9711,                0.75819,                0.83019,                0.47223,                 1.0211,              0.0018776,              0.0018776,              0.0018776
                     36,                0.77814,                0.46406,                 1.0691,                0.92764,                  0.914,                 0.9723,                0.76331,                0.82812,                0.46872,                 1.0209,               0.001874,               0.001874,               0.001874
                     37,                0.78645,                0.47319,                 1.0656,                0.92145,                0.92228,                0.96954,                0.74902,                0.85741,                0.52342,                 1.0478,              0.0018704,              0.0018704,              0.0018704
                     38,                0.79641,                 0.4765,                 1.0905,                0.90991,                0.91819,                0.96978,                0.76698,                0.81948,                0.48961,                 1.0232,              0.0018668,              0.0018668,              0.0018668
                     39,                0.77093,                 0.4535,                 1.0595,                0.88939,                0.94826,                 0.9682,                0.77147,                0.81907,                0.48542,                 1.0271,              0.0018632,              0.0018632,              0.0018632
                     40,                0.77217,                0.46578,                 1.0666,                0.92774,                0.93612,                0.97483,                0.77474,                0.79923,                0.46468,                 1.0136,              0.0018596,              0.0018596,              0.0018596
                     41,                0.77396,                0.45883,                 1.0612,                0.91994,                0.93612,                0.97451,                0.77046,                0.81224,                0.46301,                  1.028,               0.001856,               0.001856,               0.001856
                     42,                0.78137,                0.45757,                 1.0631,                0.91311,                0.92957,                0.96914,                0.76684,                0.82456,                0.48904,                 1.0209,              0.0018524,              0.0018524,              0.0018524
                     43,                0.77439,                0.45012,                 1.0554,                0.92527,                0.92138,                0.97551,                0.76836,                0.82886,                0.44952,                 1.0219,              0.0018488,              0.0018488,              0.0018488
                     44,                0.76189,                0.45621,                  1.049,                0.92684,                0.93379,                0.97284,                0.77494,                0.80829,                0.47418,                 1.0174,              0.0018452,              0.0018452,              0.0018452
                     45,                0.75053,                0.44535,                  1.045,                0.90756,                0.92875,                0.97111,                0.76629,                0.80861,                0.51827,                 1.0217,              0.0018416,              0.0018416,              0.0018416
                     46,                  0.768,                0.45718,                 1.0651,                0.93946,                0.91503,                0.97182,                0.77523,                0.82218,                0.48196,                 1.0331,               0.001838,               0.001838,               0.001838
                     47,                0.77466,                0.45556,                 1.0792,                0.92386,                0.94103,                0.97197,                0.77308,                 0.8222,                0.47693,                 1.0234,              0.0018344,              0.0018344,              0.0018344
                     48,                0.75593,                0.44519,                 1.0572,                0.93769,                0.92433,                0.97773,                 0.7849,                 0.7993,                0.43797,                 1.0256,              0.0018308,              0.0018308,              0.0018308
                     49,                0.75213,                0.43735,                 1.0366,                0.93099,                0.92629,                0.97276,                0.77698,                0.79596,                0.46141,                 1.0105,              0.0018272,              0.0018272,              0.0018272
                     50,                0.75165,                0.44521,                 1.0564,                0.92596,                0.92186,                 0.9764,                0.76792,                0.82528,                0.46438,                 1.0203,              0.0018236,              0.0018236,              0.0018236
                     51,                0.75226,                0.44003,                   1.06,                0.93363,                0.93326,                0.97637,                0.77469,                0.80935,                0.46242,                 1.0103,                0.00182,                0.00182,                0.00182
                     52,                0.74334,                0.44616,                  1.049,                0.91669,                0.93857,                0.96582,                0.76769,                0.80011,                0.50661,                   1.01,              0.0018164,              0.0018164,              0.0018164
                     53,                0.74452,                0.44195,                 1.0392,                0.90683,                0.93612,                0.96844,                   0.78,                 0.7893,                0.45568,                0.99951,              0.0018128,              0.0018128,              0.0018128
                     54,                0.75157,                0.43024,                 1.0556,                0.91587,                0.93366,                0.97008,                0.77843,                0.80819,                0.47034,                 1.0135,              0.0018092,              0.0018092,              0.0018092
                     55,                  0.736,                0.43375,                 1.0404,                0.93338,                0.91892,                0.96861,                0.76738,                0.81729,                0.47225,                 1.0133,              0.0018056,              0.0018056,              0.0018056
                     56,                0.73462,                0.42046,                 1.0359,                0.90606,                0.92425,                 0.9702,                0.77124,                0.80754,                0.45459,                 1.0103,               0.001802,               0.001802,               0.001802
                     57,                0.73708,                0.42494,                 1.0468,                0.91651,                0.91704,                0.96329,                 0.7663,                0.82355,                0.47749,                 1.0272,              0.0017984,              0.0017984,              0.0017984
                     58,                0.74739,                0.43532,                 1.0416,                0.91224,                0.92875,                0.97076,                0.77543,                0.77295,                 0.4581,                0.99742,              0.0017948,              0.0017948,              0.0017948
                     59,                0.74254,                0.41871,                 1.0455,                0.92143,                0.93612,                0.96627,                0.77593,                0.79911,                0.46127,                 1.0042,              0.0017912,              0.0017912,              0.0017912
                     60,                 0.7437,                0.42903,                 1.0517,                0.90539,                 0.9484,                0.97109,                0.77645,                0.80486,                0.45789,                 1.0147,              0.0017876,              0.0017876,              0.0017876
                     61,                0.71819,                0.42266,                 1.0224,                0.91913,                0.91892,                0.97366,                0.77601,                 0.8094,                0.47222,                 1.0144,               0.001784,               0.001784,               0.001784
                     62,                0.71931,                0.42347,                 1.0218,                 0.9227,                0.93849,                0.97429,                0.78675,                0.79058,                0.43805,                 1.0067,              0.0017804,              0.0017804,              0.0017804
                     63,                0.70964,                0.40752,                 1.0252,                0.90799,                0.92142,                0.96544,                0.77473,                0.80303,                0.44644,                 1.0135,              0.0017768,              0.0017768,              0.0017768
                     64,                0.72252,                0.42035,                 1.0219,                 0.8728,                0.94103,                0.96099,                0.77218,                0.79814,                0.48469,                 1.0083,              0.0017732,              0.0017732,              0.0017732
                     65,                0.72773,                0.42553,                 1.0245,                0.93508,                0.90909,                0.97086,                 0.7833,                0.78273,                 0.4361,                 1.0034,              0.0017696,              0.0017696,              0.0017696
