                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4193,                 4.2372,                 4.0654,                0.00017,                0.02211,                  9e-05,                  4e-05,                  4.199,                 4.4261,                 4.2768,             0.00065714,             0.00065714,             0.00065714
                      2,                 2.4692,                 2.6702,                 2.5552,                0.36833,                0.40786,                0.30727,                0.12877,                 1.9427,                 2.1884,                 2.1551,              0.0013214,              0.0013214,              0.0013214
                      3,                 1.9805,                 1.9352,                 1.9656,                0.68595,                0.61178,                0.65449,                0.37771,                 1.4879,                 1.5051,                 1.5578,              0.0019833,              0.0019833,              0.0019833
                      4,                 1.6293,                 1.4531,                 1.6412,                0.85022,                0.73917,                0.83083,                0.55025,                 1.2113,                 1.1114,                  1.322,              0.0019892,              0.0019892,              0.0019892
                      5,                  1.408,                 1.1487,                 1.4496,                0.84196,                0.76904,                0.86438,                0.58129,                 1.1712,                 1.0256,                 1.2277,              0.0019856,              0.0019856,              0.0019856
                      6,                  1.323,                 1.0502,                 1.3742,                0.82289,                0.76904,                0.84712,                0.58855,                 1.0659,                 1.0344,                 1.1907,               0.001982,               0.001982,               0.001982
                      7,                 1.2056,                0.92255,                 1.2811,                0.87547,                0.85504,                0.91914,                0.65589,                 1.0445,                0.73975,                 1.1418,              0.0019784,              0.0019784,              0.0019784
                      8,                 1.1965,                0.90283,                 1.2731,                 0.8649,                 0.8966,                0.93597,                0.68626,                0.97896,                0.68367,                  1.108,              0.0019748,              0.0019748,              0.0019748
                      9,                  1.121,                0.81521,                 1.2289,                0.89645,                0.87206,                0.94941,                0.69066,                0.95427,                0.70578,                 1.0823,              0.0019712,              0.0019712,              0.0019712
                     10,                 1.1104,                0.78552,                 1.2179,                0.83289,                0.89397,                0.93214,                0.67485,                 1.0069,                0.68999,                 1.1174,              0.0019676,              0.0019676,              0.0019676
