                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1996,                0.47185,                0.73499,                 4.1617,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.7047,                0.71196,                0.93113,                 3.8999,               0.006647,               0.006647,               0.006647
                      3,                 1.0126,                0.78525,                0.98115,                 3.8022,              0.0099473,              0.0099473,              0.0099473
                      4,                0.72006,                0.83806,                0.99581,                 3.7233,              0.0099258,              0.0099258,              0.0099258
                      5,                0.51097,                0.85877,                0.99744,                 3.6983,               0.009901,               0.009901,               0.009901
                      6,                0.42441,                0.85831,                0.99814,                 3.6917,              0.0098763,              0.0098763,              0.0098763
                      7,                0.37243,                0.83806,                0.99837,                 3.6935,              0.0098515,              0.0098515,              0.0098515
                      8,                0.36573,                0.86529,                0.99837,                 3.6865,              0.0098268,              0.0098268,              0.0098268
                      9,                0.32837,                0.86971,                0.99814,                 3.6839,               0.009802,               0.009802,               0.009802
                     10,                0.31709,                0.86598,                0.99837,                 3.6802,              0.0097773,              0.0097773,              0.0097773
                     11,                0.30624,                0.89414,                0.99791,                 3.6778,              0.0097525,              0.0097525,              0.0097525
                     12,                0.29505,                0.86598,                0.99907,                 3.6791,              0.0097278,              0.0097278,              0.0097278
                     13,                 0.2962,                0.88553,                0.99814,                   3.67,               0.009703,               0.009703,               0.009703
                     14,                0.29076,                 0.8832,                0.99907,                 3.6753,              0.0096783,              0.0096783,              0.0096783
                     15,                0.28232,                 0.8832,                 0.9993,                 3.6763,              0.0096535,              0.0096535,              0.0096535
                     16,                0.26977,                0.85854,                 0.9986,                 3.6772,              0.0096288,              0.0096288,              0.0096288
                     17,                0.27248,                0.85319,                0.99977,                 3.6785,               0.009604,               0.009604,               0.009604
                     18,                 0.2678,                0.87994,                 0.9993,                 3.6735,              0.0095793,              0.0095793,              0.0095793
                     19,                0.26706,                0.85365,                 0.9993,                 3.6791,              0.0095545,              0.0095545,              0.0095545
                     20,                0.26213,                0.83876,                0.99953,                 3.6811,              0.0095298,              0.0095298,              0.0095298
                     21,                0.26149,                0.85575,                 0.9993,                  3.675,               0.009505,               0.009505,               0.009505
                     22,                0.25772,                  0.859,                0.99907,                 3.6744,              0.0094803,              0.0094803,              0.0094803
                     23,                0.25869,                0.87389,                0.99907,                 3.6744,              0.0094555,              0.0094555,              0.0094555
                     24,                0.25022,                0.86226,                 0.9993,                 3.6754,              0.0094307,              0.0094307,              0.0094307
                     25,                0.25733,                0.84737,                0.99953,                 3.6764,               0.009406,               0.009406,               0.009406
                     26,                0.25832,                0.85156,                0.99953,                  3.676,              0.0093813,              0.0093813,              0.0093813
                     27,                0.25301,                 0.8732,                0.99953,                 3.6727,              0.0093565,              0.0093565,              0.0093565
                     28,                0.25124,                0.85295,                0.99953,                 3.6755,              0.0093317,              0.0093317,              0.0093317
                     29,                0.24671,                0.84923,                0.99953,                 3.6745,               0.009307,               0.009307,               0.009307
                     30,                0.24924,                0.85644,                 0.9993,                 3.6742,              0.0092823,              0.0092823,              0.0092823
                     31,                0.24115,                0.83271,                 0.9993,                 3.6757,              0.0092575,              0.0092575,              0.0092575
                     32,                0.24055,                 0.8597,                 0.9993,                 3.6734,              0.0092327,              0.0092327,              0.0092327
                     33,                0.24599,                0.84853,                0.99953,                 3.6744,               0.009208,               0.009208,               0.009208
                     34,                0.24253,                0.85831,                0.99953,                  3.673,              0.0091833,              0.0091833,              0.0091833
                     35,                0.23427,                 0.8718,                0.99953,                 3.6711,              0.0091585,              0.0091585,              0.0091585
                     36,                0.23389,                0.86668,                0.99953,                 3.6709,              0.0091337,              0.0091337,              0.0091337
                     37,                0.24297,                 0.8618,                0.99953,                 3.6727,               0.009109,               0.009109,               0.009109
                     38,                0.24799,                0.87878,                0.99953,                 3.6698,              0.0090843,              0.0090843,              0.0090843
                     39,                0.23957,                0.87971,                0.99953,                 3.6701,              0.0090595,              0.0090595,              0.0090595
