                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9037,                 4.5168,                 2.9553,                 0.0109,                0.80027,                 0.0173,                0.01705,                0.30558,                 2.7831,                0.71309,              0.0033311,              0.0033311,              0.0033311
                      2,                0.32212,                 2.7361,                 1.0116,                0.65478,                0.28742,                0.25311,                0.25119,                 0.1306,                 1.4798,                0.39303,              0.0065819,              0.0065819,              0.0065819
                      3,                0.25676,                 1.8146,                0.94043,                0.63425,                0.62331,                0.64962,                0.64925,                0.08791,                0.74846,                0.32157,              0.0097503,              0.0097503,              0.0097503
                      4,                0.21344,                 1.2496,                0.91878,                0.74532,                0.83799,                0.85345,                0.85293,                0.07937,                0.45136,                0.31875,              0.0096288,              0.0096288,              0.0096288
                      5,                0.16789,                0.97288,                0.90904,                0.82375,                0.86721,                0.89698,                0.89649,                0.07883,                0.38353,                0.31681,               0.009505,               0.009505,               0.009505
                      6,                0.14175,                0.85975,                0.90238,                0.80301,                0.92144,                 0.9006,                0.90049,                0.08235,                0.35427,                0.32178,              0.0093813,              0.0093813,              0.0093813
                      7,                0.12627,                0.80166,                0.89769,                0.83899,                0.94032,                0.90987,                0.90761,                0.08101,                0.33983,                0.31676,              0.0092575,              0.0092575,              0.0092575
                      8,                0.11387,                0.75178,                0.89683,                0.84768,                 0.9501,                0.91615,                0.91577,                0.08823,                0.32828,                0.33124,              0.0091337,              0.0091337,              0.0091337
                      9,                0.10342,                 0.7222,                0.89337,                0.87108,                0.97574,                0.92511,                0.92403,                 0.0901,                0.29535,                0.32748,                0.00901,                0.00901,                0.00901
                     10,                0.09705,                0.69198,                0.89109,                0.87899,                0.96775,                0.92172,                0.92135,                0.07451,                0.29089,                0.31413,              0.0088863,              0.0088863,              0.0088863
                     11,                0.09184,                0.68485,                0.88954,                0.86356,                   0.97,                0.92293,                0.92282,                0.07842,                 0.2899,                0.31983,              0.0087625,              0.0087625,              0.0087625
                     12,                0.08705,                0.66233,                0.88965,                0.87166,                0.97842,                0.92066,                0.92042,                0.06925,                 0.2796,                0.30845,              0.0086388,              0.0086388,              0.0086388
                     13,                0.08276,                0.65017,                0.88783,                0.88431,                0.98123,                 0.9206,                0.91969,                 0.0877,                0.30286,                0.32822,               0.008515,               0.008515,               0.008515
                     14,                0.08036,                0.64376,                0.88783,                0.88218,                0.98193,                0.92356,                0.92352,                 0.0648,                0.27694,                0.30366,              0.0083913,              0.0083913,              0.0083913
                     15,                0.07677,                0.63413,                0.88829,                0.88939,                0.98578,                0.92366,                0.92363,                0.09686,                0.27848,                0.33087,              0.0082675,              0.0082675,              0.0082675
                     16,                0.07527,                0.62009,                0.88592,                0.88595,                0.98561,                0.92095,                0.92043,                0.09342,                0.30649,                0.32983,              0.0081437,              0.0081437,              0.0081437
                     17,                0.07177,                0.61335,                0.88569,                0.89485,                0.98563,                0.92244,                0.92236,                0.08687,                  0.286,                0.32396,                0.00802,                0.00802,                0.00802
                     18,                0.06805,                0.60177,                0.88421,                0.89548,                0.98949,                0.92269,                0.92267,                0.07593,                0.24964,                0.32265,              0.0078963,              0.0078963,              0.0078963
